F:\Studies\ND\simulator-windows-64\IMG\IMG\center_2019_03_02_23_45_18_519.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\left_2019_03_02_23_45_18_519.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\right_2019_03_02_23_45_18_519.jpg, 0, 0, 0, 7.881872E-05
F:\Studies\ND\simulator-windows-64\IMG\IMG\center_2019_03_02_23_45_18_627.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\left_2019_03_02_23_45_18_627.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\right_2019_03_02_23_45_18_627.jpg, 0, 0, 0, 7.859846E-05
F:\Studies\ND\simulator-windows-64\IMG\IMG\center_2019_03_02_23_45_18_729.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\left_2019_03_02_23_45_18_729.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\right_2019_03_02_23_45_18_729.jpg, 0, 0, 0, 7.815342E-05
F:\Studies\ND\simulator-windows-64\IMG\IMG\center_2019_03_02_23_45_18_832.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\left_2019_03_02_23_45_18_832.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\right_2019_03_02_23_45_18_832.jpg, 0, 0, 0, 8.017896E-05
F:\Studies\ND\simulator-windows-64\IMG\IMG\center_2019_03_02_23_45_18_936.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\left_2019_03_02_23_45_18_936.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\right_2019_03_02_23_45_18_936.jpg, 0, 0, 0, 7.796983E-05
F:\Studies\ND\simulator-windows-64\IMG\IMG\center_2019_03_02_23_45_19_037.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\left_2019_03_02_23_45_19_037.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\right_2019_03_02_23_45_19_037.jpg, 0, 0, 0, 7.826598E-05
F:\Studies\ND\simulator-windows-64\IMG\IMG\center_2019_03_02_23_45_19_141.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\left_2019_03_02_23_45_19_141.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\right_2019_03_02_23_45_19_141.jpg, 0, 0, 0, 7.833519E-05
F:\Studies\ND\simulator-windows-64\IMG\IMG\center_2019_03_02_23_45_19_244.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\left_2019_03_02_23_45_19_244.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\right_2019_03_02_23_45_19_244.jpg, 0, 0, 0, 8.080455E-05
F:\Studies\ND\simulator-windows-64\IMG\IMG\center_2019_03_02_23_45_19_347.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\left_2019_03_02_23_45_19_347.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\right_2019_03_02_23_45_19_347.jpg, 0, 0, 0, 7.864918E-05
F:\Studies\ND\simulator-windows-64\IMG\IMG\center_2019_03_02_23_45_19_449.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\left_2019_03_02_23_45_19_449.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\right_2019_03_02_23_45_19_449.jpg, 0, 0, 0, 7.93628E-05
F:\Studies\ND\simulator-windows-64\IMG\IMG\center_2019_03_02_23_45_19_553.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\left_2019_03_02_23_45_19_553.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\right_2019_03_02_23_45_19_553.jpg, 0, 0, 0, 8.190344E-05
F:\Studies\ND\simulator-windows-64\IMG\IMG\center_2019_03_02_23_45_19_655.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\left_2019_03_02_23_45_19_655.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\right_2019_03_02_23_45_19_655.jpg, 0, 0, 0, 7.883446E-05
F:\Studies\ND\simulator-windows-64\IMG\IMG\center_2019_03_02_23_45_19_759.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\left_2019_03_02_23_45_19_759.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\right_2019_03_02_23_45_19_759.jpg, 0, 0, 0, 8.419428E-05
F:\Studies\ND\simulator-windows-64\IMG\IMG\center_2019_03_02_23_45_19_861.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\left_2019_03_02_23_45_19_861.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\right_2019_03_02_23_45_19_861.jpg, 0, 0, 0, 8.117104E-05
F:\Studies\ND\simulator-windows-64\IMG\IMG\center_2019_03_02_23_45_19_965.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\left_2019_03_02_23_45_19_965.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\right_2019_03_02_23_45_19_965.jpg, 0, 0.01729473, 0, 0.02532726
F:\Studies\ND\simulator-windows-64\IMG\IMG\center_2019_03_02_23_45_20_068.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\left_2019_03_02_23_45_20_068.jpg, F:\Studies\ND\simulator-windows-64\IMG\IMG\right_2019_03_02_23_45_20_068.jpg, 0, 0.3648465, 0, 0.3030518
